1. Facilities By US State,,,,
DATACENTER_STAGE,Active,,,
,,,,
STATE_NAME,# Facilities,,,
Virginia,317,,,
Texas,206,,,
California,166,,,
Ohio,99,,,
Oregon,97,,,
Arizona,81,,,
Illinois,78,,,
Washington,70,,,
Georgia,64,,,
Iowa,56,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
2. Facilities By Data Center Provider,,,,
DATACENTER_STAGE,Active,,,
,,,,
PROVIDER_NAME,TOTAL,,,
Amazon AWS,197,,,
Digital Realty,106,,,
Microsoft,105,,,
Lumen,97,,,
Facebook,94,,,
Google,85,,,
Equinix,73,,,
Cogent Communications,72,,,
DataBank,59,,,
QTS Data Centers,53,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
3. Power Comsumption By US State,,,,
DATACENTER_STAGE,Active,,,
,,,,
STATE_NAME,Total Power Consumption (MWh),,,
Virginia,"10,631.21 MW",,,
Texas,"4,856.13 MW",,,
Oregon,"3,896.15 MW",,,
Ohio,"2,925.23 MW",,,
Arizona,"2,533.51 MW",,,
Illinois,"2,355.56 MW",,,
Georgia,"2,198.95 MW",,,
Iowa,"2,167.87 MW",,,
California,"1,733.50 MW",,,
Washington,"1,223.47 MW",,,
,,,,
,,,,
,,,,
,,,,
,,,,
4. Power Comsumption By Data Center Provider,,,,
DATACENTER_STAGE,Active,,,
,,,,
PROVIDER_NAME,Total Power Consumption (MWh),,,
Amazon AWS,"8,895.46 MW",,,
Facebook,"5,150.54 MW",,,
Google,"5,103.24 MW",,,
Microsoft,"4,713.44 MW",,,
Digital Realty,"2,374.28 MW",,,
QTS Data Centers,"1,877.27 MW",,,
CyrusOne,"1,217.60 MW",,,
Switch Data Centers,"1,126.05 MW",,,
Aligned Data Centers,839.65 MW,,,
Vantage Data Centers,708.00 MW,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
5. Square Footage By US State,,,,
DATACENTER_STAGE,Active,,,
,,,,
STATE_NAME,Total SqFt Area,,,
Virginia,"60,914.65 K Sqft",,,
Texas,"28,363.74 K Sqft",,,
Oregon,"19,733.98 K Sqft",,,
California,"15,892 K Sqft",,,
Arizona,"15,767.88 K Sqft",,,
Ohio,"14,984.86 K Sqft",,,
Georgia,"14,294.85 K Sqft",,,
Illinois,"14,134.43 K Sqft",,,
Iowa,"13,009.58 K Sqft",,,
Washington,"8,959.87 K Sqft",,,
,,,,
,,,,
,,,,
5. Square Footage By US State,,,,
DATACENTER_STAGE,Active,,,
,,,,
PROVIDER_NAME,Total SqFt Area,,,
Facebook,"43,037.25 K Sqft",,,
Amazon AWS,"35,567.78 K Sqft",,,
Digital Realty,"22,876.43 K Sqft",,,
Microsoft,"21,578.73 K Sqft",,,
Google,"21,253.87 K Sqft",,,
QTS Data Centers,"12,559.62 K Sqft",,,
CyrusOne,"11,204.86 K Sqft",,,
Equinix,"6,946.87 K Sqft",,,
Switch Data Centers,"6,758.68 K Sqft",,,
Centersquare,"5,995.33 K Sqft",,,