,,,,
,,,,
,,,,
,,,,
,,,,
,COLUMN NAME,DESCRIPTION,,
,ATERIO_DATA_CENTER_UID,Aterio unique ID of the data center facility,,
,DATA_CENTER_BUILDING_NAME,Name of the data center facility,,
,DATA_CENTER_CAMPUS_NAME,Name of the data center campus,,
,PROVIDER_NAME,Name of the data center provider,,
,PROVIDER_URL,URL of the data center provider,,
,PROVIDER_PUBLIC_PRIVATE,Is the Provider a Public or Private Company,,
,PROVIDER_TICKER_NAME,Stock Ticker,,
,PROVIDER_BLOOMBERG_TICKER_NAME,Bloomberg Formatted Ticker,,
,STOCK_EXCHANGE_PROVIDER_NAME,Stock Ticker including Stock Exchange,,
,DATA_CENTER_STAGE,Active / Under Construction / Announcement of Development,,
,LATEST_SATELLITE_PICTURE_DATE,Tracks construction progress or operational status,,
,PCT_CONSTRUCTION_STATUS,Estimates project progress,,
,DATA_CENTER_ACTIVATION_DATE,Official or estimated go-live date,,
,ESTIMATED_ACTIVE_DATE_BY,"Basis for the estimated launch (e.g., developer, provider)",,
,PROVIDER_BACKED_BY,Corporations related to Provider / Investors backing the Provider,,
,FULL_ADDRESS,Full address of the data center facility,,
,ZIP_CODE,US Zip Code,,
,COUNTY_FIPS_CODE,Federal Information Processing Standards (FIPS) code for counties,,
,COUNTY_NAME,County name,,
,CITY_NAME,City name,,
,PLACE_FIPS_CODE,City FIPS Code,,
,STATE_CODE,State code,,
,LOCATION_LATITUDE,Latitude coordinate location,,
,LOCATION_LONGITUDE,Longitude coordinate location,,
,SITE_ACREAGE,Site Acreage,,
,TOT_FACILITY_SPACE_SQFT,Total space of the facility in square feet,,
,TOT_DATA_CENTER_SPACE_SQFT,Total space of the data center in square feet,,
,TOT_POWER_MW,Total power IT capacity data center in MW,,
,EST_TOT_POWER_MW,Estimated total power IT capacity data center in MW,,
,EST_TOT_POWER_MW_LOWER,Estimated total power IT capacity data center in MW (lower bound),,
,EST_TOT_POWER_MW_UPPER,Estimated total power IT capacity data center in MW (upper bound),,
,AVG_MARKET_POWER_COST,Average market cost of power consumption,,
,CENTS_KWH,Average market cost in cents/kWh,,
,YEAR_BUILT,Year built of the data center facility,,
,YEARLY_PUE,Measures energy efficiency of the data center,,
,TOT_NUM_GENERATORS,Total installed for power redundancy,,
,UTILITY_NAME,Name of Utility Company servicing the Region,,
,UTILITY_CODE,Utility Code,,
,UTILITY_PUBLIC_PRIVATE,Is the Utility a Public or Private Company,,
,UTILITY_TICKER_NAME,Stock Ticker,,
,UTILITY_BLOOMBERG_TICKER_NAME,Bloomberg Formatted Ticker,,
,UTILITY_EXCHANGE_PROVIDER_TICKER_NAME,Stock Ticker including Stock Exchange,,
,DATASHEET_URL,Data Center Datasheet URL,,
,MAP_URL,Satelite Photo of Facility URL,,
,PROJECT_PERMIT_URL,URL linking to the project permit information.,,
,PROJECT_EXECUTION_LIKELIHOOD,A categorical indicator of the probability that a data center project will be executed. ,,
,NOTES,Notes on Data Center development,,
,,,,
,For additional information visit aterio.io,,,