State,Year,Water_Usage
Nevada,2010,5894.32786914
New Hampshire,2010,920.470796733
New Jersey,2010,10207.646273732
New Mexico,2010,3001.061617466
New York,2010,27568.676310458
North Carolina,2010,10501.720851352
North Dakota,2010,799.221094704
Ohio,2010,16059.440887274
Oklahoma,2010,5927.94034367
Oregon,2010,6435.007615727
Pennsylvania,2010,14803.569295603
Rhode Island,2010,1388.76543906
South Carolina,2010,6111.06173008
South Dakota,2010,1017.426927814
Tennessee,2010,7152.80640088
Texas,2010,42756.665251518
Utah,2010,6022.591977055
Vermont,2010,332.5321688
Virginia,2010,15383.144407306
Washington,2010,8033.281061453
West Virginia,2010,1882.367692725
Wisconsin,2010,5596.47808628
Wyoming,2010,1013.347705098
Alabama,2011,7191.72924341
Arizona,2011,10996.356932522
Arkansas,2011,4657.936133663
California,2011,52337.838041473
Colorado,2011,8262.853771659
Connecticut,2011,3042.903678604
Delaware,2011,652.611511005
Florida,2011,22705.608317587
Georgia,2011,11442.592044734
Idaho,2011,2494.104299127
Illinois,2011,18458.387809095
Indiana,2011,7445.242679264
Iowa,2011,3718.145000433
Kansas,2011,5828.658616739
Kentucky,2011,5865.04613876
Louisiana,2011,7441.04651205
Maine,2011,979.35266863
Maryland,2011,8767.643525319
Massachusetts,2011,6816.96020135
Michigan,2011,11257.634592942
Minnesota,2011,5926.109797331
Mississippi,2011,4754.323526988
Missouri,2011,6554.761152123
Montana,2011,1410.987128071
Nebraska,2011,3229.863561499
Nevada,2011,6019.681267078
New Hampshire,2011,843.118876554
New Jersey,2011,10360.562133956
New Mexico,2011,3081.059362672
New York,2011,28847.911063751
North Carolina,2011,10663.642716835
North Dakota,2011,804.935671571
Ohio,2011,16179.167440705
Oklahoma,2011,7029.465245678
Oregon,2011,6240.93646603
Pennsylvania,2011,14576.704995622
Rhode Island,2011,1327.3904077
South Carolina,2011,6207.577661
South Dakota,2011,1036.553841564
Tennessee,2011,7080.32468782
Texas,2011,51100.01950273
Utah,2011,5981.929438989
Vermont,2011,327.135065759
Virginia,2011,15257.17268336
Washington,2011,8169.721529172
West Virginia,2011,1866.159798128
Wisconsin,2011,5671.400363721
Wyoming,2011,1008.991905292
Alabama,2012,7097.34939858
Arizona,2012,10852.676635591
Arkansas,2012,4781.588144368
California,2012,51255.52186524
Colorado,2012,8488.919651745
Connecticut,2012,2947.923456128
Delaware,2012,642.594807051
Florida,2012,22396.086734314
Georgia,2012,11276.116349594
Idaho,2012,2569.83906499
Illinois,2012,18137.987411275
Indiana,2012,7551.795300749
Iowa,2012,3932.803183752
Kansas,2012,5870.416252601
Kentucky,2012,5942.15138062
Louisiana,2012,7096.92663799
Maine,2012,979.67716536
Maryland,2012,7693.351646159
Massachusetts,2012,6750.51961024
Michigan,2012,11662.782547458
Minnesota,2012,5915.573516566
Mississippi,2012,4694.93546585
Missouri,2012,6928.051662501
Montana,2012,1497.098332064
Nebraska,2012,3438.016694799
Nevada,2012,6036.092012922
New Hampshire,2012,834.028900368
New Jersey,2012,9886.976220293
New Mexico,2012,3082.4269374
New York,2012,28720.615526991
North Carolina,2012,10663.611976246
North Dakota,2012,894.301915846
Ohio,2012,16443.551301065
Oklahoma,2012,6648.897030885
Oregon,2012,6286.606998642
Pennsylvania,2012,14743.279707331
Rhode Island,2012,1431.91963214
South Carolina,2012,6101.31364667
South Dakota,2012,1125.063201289
Tennessee,2012,7041.04181001
Texas,2012,47505.788699418
Utah,2012,6409.981442961
Vermont,2012,325.423019878
Virginia,2012,15536.51618908
Washington,2012,8216.6226757057
West Virginia,2012,1857.62039252
Wisconsin,2012,5920.452506244
Wyoming,2012,1065.49799762
Alabama,2013,7104.02883914
Arizona,2013,10797.207584724
Arkansas,2013,4565.550828128
California,2013,52709.295310026
Colorado,2013,8431.758388985
Connecticut,2013,2992.3999785
Delaware,2013,641.749564648
Florida,2013,22860.828018221
Georgia,2013,11015.094409844
Idaho,2013,2534.982116089
Illinois,2013,17935.156725917
Indiana,2013,7431.028999736
Iowa,2013,3708.854940177
Kansas,2013,5557.460574083
Kentucky,2013,5913.44201942
Louisiana,2013,6980.1388727
Maine,2013,969.03075533
Maryland,2013,7882.195475762
Massachusetts,2013,6688.63909349
Michigan,2013,11101.536502456
Minnesota,2013,5906.427145522
Mississippi,2013,4566.556432125
Missouri,2013,6848.286750354
Montana,2013,1461.075473863
Nebraska,2013,3300.328077281
Nevada,2013,6060.438253403
New Hampshire,2013,851.15463991
New Jersey,2013,10114.306374872
New Mexico,2013,2931.224329399
New York,2013,28195.079217618
North Carolina,2013,10708.272006526
North Dakota,2013,840.53989979
Ohio,2013,16199.300031016
Oklahoma,2013,6003.62146994
Oregon,2013,6351.431973848
Pennsylvania,2013,14692.124492474
Rhode Island,2013,1379.34883838
South Carolina,2013,6110.22850639
South Dakota,2013,1038.99773074
Tennessee,2013,7130.17249005
Texas,2013,46811.247757969
Utah,2013,6361.263144223
Vermont,2013,323.721726073
Virginia,2013,15235.33886235
Washington,2013,8117.6285058646
West Virginia,2013,1848.541344613
Wisconsin,2013,5588.02735956
Wyoming,2013,1022.268417445
Alabama,2014,7135.94688502
Arizona,2014,10962.276186657
Arkansas,2014,4531.899618962
California,2014,50728.232736117
Colorado,2014,8191.900368174
Connecticut,2014,3016.49938104
Delaware,2014,655.242071321
Florida,2014,23024.54358163
Georgia,2014,11372.428918032
Idaho,2014,2550.650692006
Illinois,2014,18384.837326991
Indiana,2014,7398.08457699
Iowa,2014,3706.842549918
Kansas,2014,5595.252535161
Kentucky,2014,6036.27520869
Louisiana,2014,6999.53116022
Maine,2014,954.42713502
Maryland,2014,8339.77292371
Massachusetts,2014,6744.81103216
Michigan,2014,11106.365653778
Minnesota,2014,5915.595198887
Mississippi,2014,4556.516093405
Missouri,2014,6867.11069301
Montana,2014,1461.000782444
Nebraska,2014,3278.640141551
Nevada,2014,5954.072106685
New Hampshire,2014,871.292351902
New Jersey,2014,10136.59305025
New Mexico,2014,2899.613920042
New York,2014,29079.365513457
North Carolina,2014,10900.536695803
North Dakota,2014,846.539114374
Ohio,2014,16163.672692828
Oklahoma,2014,5972.551684176
Oregon,2014,6468.126739992
Pennsylvania,2014,14729.566055616
Rhode Island,2014,1422.44422281
South Carolina,2014,6205.73351429
South Dakota,2014,995.439400873
Tennessee,2014,7171.34962126
Texas,2014,46190.220369766
Utah,2014,6166.189925811
Vermont,2014,328.271609698
Virginia,2014,15463.57347135
Washington,2014,8350.4913179345
West Virginia,2014,1858.663217856
Wisconsin,2014,5713.003276865
Wyoming,2014,1014.062329819
Alabama,2015,7086.15506411
Arizona,2015,10579.173593149
Arkansas,2015,4530.14125496
California,2015,49690.659509887
Colorado,2015,8646.608145419
Connecticut,2015,2967.789887973
Delaware,2015,643.060301852
Florida,2015,23519.69444272
Georgia,2015,11316.072567798
Idaho,2015,2610.602885125
Illinois,2015,17899.257488579
Indiana,2015,7334.37561393
Iowa,2015,3673.685873336
Kansas,2015,5678.997962051
Kentucky,2015,6136.97914006
Louisiana,2015,7064.75884608
Maine,2015,958.11823792
Maryland,2015,7911.573457774
Massachusetts,2015,6796.99752198
Michigan,2015,11548.175088922
Minnesota,2015,5881.832838247
Mississippi,2015,4500.864712531
Missouri,2015,6815.332875113
Montana,2015,1485.442732641
Nebraska,2015,3281.138703369
Nevada,2015,5805.502961205
New Hampshire,2015,859.823462796
New Jersey,2015,10275.88816033
New Mexico,2015,2793.339648336
New York,2015,26916.162109478
North Carolina,2015,10714.834887287
North Dakota,2015,893.869716072
Ohio,2015,16488.474822203
Oklahoma,2015,6023.587329229
Oregon,2015,6548.753649808
Pennsylvania,2015,14317.262860416
Rhode Island,2015,1451.49352471
South Carolina,2015,6182.927645178
South Dakota,2015,1029.676683119
Tennessee,2015,7246.52679648
Texas,2015,44964.901937512
Utah,2015,6272.894256755
Vermont,2015,328.831604855
Virginia,2015,15437.99295007
Washington,2015,8309.9091321769
West Virginia,2015,1871.921529952
Wisconsin,2015,5558.567853638
Wyoming,2015,1047.043439757
Alabama,2016,7048.28874321
Arizona,2016,10789.865618183
Arkansas,2016,4512.956651112
California,2016,49627.522413127
Colorado,2016,8616.400099872
Connecticut,2016,2918.227708648
Delaware,2016,643.789370722
Florida,2016,23863.875877962
Georgia,2016,11840.587726037
Idaho,2016,2667.383199229
Illinois,2016,17661.835635702
Indiana,2016,7335.64665107
Iowa,2016,3665.420106607
Kansas,2016,5573.690825263
Kentucky,2016,6188.26865823
Louisiana,2016,6944.180998678
Maine,2016,1002.43629322
Maryland,2016,7640.169038703
Massachusetts,2016,6570.17230705
Michigan,2016,10852.456559505
Minnesota,2016,5815.561066771
Mississippi,2016,4388.135717496
Missouri,2016,6773.663909929
Montana,2016,1473.632660209
Nebraska,2016,3303.70221355
Nevada,2016,6054.382776937
New Hampshire,2016,876.065091983
New Jersey,2016,10173.568870428
New Mexico,2016,2891.564082503
New York,2016,28041.321757055
North Carolina,2016,10969.103473192
North Dakota,2016,848.975518005
Ohio,2016,16340.82528963
Oklahoma,2016,5901.574499343
Oregon,2016,6655.029840538
Pennsylvania,2016,14128.18481833
Rhode Island,2016,1457.68584594
South Carolina,2016,6357.84455355
South Dakota,2016,999.100568947
Tennessee,2016,7187.90253961
Texas,2016,45354.177757949
Utah,2016,6303.444594622
Vermont,2016,332.420390158
Virginia,2016,15584.01789575
Washington,2016,8376.610865593
West Virginia,2016,1851.977729691
Wisconsin,2016,5495.002773684
Wyoming,2016,1000.468676721
Alabama,2017,7072.438005
Arizona,2017,11185.566483916
Arkansas,2017,4563.725207741
California,2017,51978.828930668
Colorado,2017,8700.779319746
Connecticut,2017,2962.990418916
Delaware,2017,640.85796353
Florida,2017,24034.895521773
Georgia,2017,11644.101999574
Idaho,2017,2653.73490932
Illinois,2017,17894.095662859
Indiana,2017,7368.31630395
Iowa,2017,3763.796051811
Kansas,2017,5709.413573421
Kentucky,2017,6223.15727328
Louisiana,2017,6997.67843147
Maine,2017,974.45278776
Maryland,2017,7978.943554328
Massachusetts,2017,6786.36336044
Michigan,2017,11110.806917165
Minnesota,2017,5997.737071251
Mississippi,2017,4265.209401479
Missouri,2017,6878.050254659
Montana,2017,1509.07689447
Nebraska,2017,3357.724233339
Nevada,2017,5989.830800558
New Hampshire,2017,850.151242481
New Jersey,2017,10666.849034358
New Mexico,2017,2821.208873078
New York,2017,27801.584210382
North Carolina,2017,11278.073128557
North Dakota,2017,903.650550206
Ohio,2017,16709.812757779
Oklahoma,2017,5974.949402298
Oregon,2017,6644.008137764
Pennsylvania,2017,14242.534662283
Rhode Island,2017,1418.52806303
South Carolina,2017,6391.698933765
South Dakota,2017,977.370993911
Tennessee,2017,7266.14119839
Texas,2017,45771.529903382
Utah,2017,6241.028795933
Vermont,2017,327.957850927
Virginia,2017,15992.65033384
Washington,2017,8644.3219576412
West Virginia,2017,1816.798465557
Wisconsin,2017,5468.798716802
Wyoming,2017,1017.122761507
Alabama,2018,7219.3693394
Arizona,2018,11176.992911304
Arkansas,2018,4591.312895719
California,2018,53244.294067565
Colorado,2018,8694.237059119
Connecticut,2018,3010.248978754
Delaware,2018,657.981161043
Florida,2018,23996.133742349
Georgia,2018,11673.911018702
Idaho,2018,2748.960907202
Illinois,2018,17898.626574073
Indiana,2018,7332.60900379
Iowa,2018,3687.787662888
Kansas,2018,5832.48515811
Kentucky,2018,6177.68777761
Louisiana,2018,7040.37413442
Maine,2018,970.03474692
Maryland,2018,8314.157557272
Massachusetts,2018,6668.69733791
Michigan,2018,10813.780354893
Minnesota,2018,6041.55892365
Mississippi,2018,4411.037314163
Missouri,2018,6872.06512663
Montana,2018,1473.296867882
Nebraska,2018,3373.723234345
Nevada,2018,6095.747115612
New Hampshire,2018,830.836475551
New Jersey,2018,10702.38392514
New Mexico,2018,2908.483973001
New York,2018,28420.085706783
North Carolina,2018,11296.678561524
North Dakota,2018,885.061147444
Ohio,2018,16851.709896002
Oklahoma,2018,6060.315843711
Oregon,2018,6713.544311158
Pennsylvania,2018,14207.003836828
Rhode Island,2018,1475.33358858
South Carolina,2018,6374.637972181
South Dakota,2018,1014.249004272
Tennessee,2018,7467.93663744
Texas,2018,46312.699137051
Utah,2018,6388.390433069
Vermont,2018,332.991425421
Virginia,2018,15985.15525427
Washington,2018,8669.899931348
West Virginia,2018,1827.676017803
Wisconsin,2018,5513.003000315
Wyoming,2018,1019.400292454
Alabama,2019,7211.30613477
Arizona,2019,11004.664208921
Arkansas,2019,4596.722399807
California,2019,50392.541352079
Colorado,2019,8741.450650852
Connecticut,2019,3008.636546127
Delaware,2019,659.756080543
Florida,2019,24480.432272311
Georgia,2019,11840.77969173
Idaho,2019,2711.047276893
Illinois,2019,17702.258008495
Indiana,2019,7308.07364837
Iowa,2019,3678.12944412
Kansas,2019,5654.67427019
Kentucky,2019,6224.86488918
Louisiana,2019,6914.402663697
Maine,2019,968.31883047
Maryland,2019,7769.352310887
Massachusetts,2019,6667.07852695
Michigan,2019,10570.00615845
Minnesota,2019,6004.307437878
Mississippi,2019,4303.133648491
Missouri,2019,6639.23991832
Montana,2019,1417.905545248
Nebraska,2019,3225.499021313
Nevada,2019,5821.479847574
New Hampshire,2019,846.173977816
New Jersey,2019,10660.180840903
New Mexico,2019,2799.677196072
New York,2019,29785.107680352
North Carolina,2019,11342.450437594
North Dakota,2019,836.148397981
Ohio,2019,16737.975019171
Oklahoma,2019,6064.578078864
Oregon,2019,6613.143845782
Pennsylvania,2019,14296.886464673
Rhode Island,2019,1457.95250281
South Carolina,2019,6321.498067697
South Dakota,2019,1023.340177658
Tennessee,2019,7352.50307435
Texas,2019,46092.338918381
Utah,2019,6173.550425968
Vermont,2019,324.466357954
Virginia,2019,15849.94243553
Washington,2019,8737.95116767
West Virginia,2019,1835.991003443
Wisconsin,2019,5458.056425829
Wyoming,2019,987.242154655
Alabama,2020,7097.23914153
Arizona,2020,11259.128911649
Arkansas,2020,4490.249780196
California,2020,54726.000070323
Colorado,2020,9030.981392633
Connecticut,2020,2954.603005658
Delaware,2020,666.931198406
Florida,2020,24756.585782322
Georgia,2020,11808.354531187
Idaho,2020,2764.694776669
Illinois,2020,17414.128116597
Indiana,2020,7444.06398481
Iowa,2020,3744.407786874
Kansas,2020,5452.02401713
Kentucky,2020,6257.35614786
Louisiana,2020,6927.566057795
Maine,2020,982.04464555
Maryland,2020,8489.141245032
Massachusetts,2020,6511.84214982
Michigan,2020,10255.038211158
Minnesota,2020,6053.425988886
Mississippi,2020,4199.093419242
Missouri,2020,6584.728122505
Montana,2020,1481.654336472
Nebraska,2020,3268.890783084
Nevada,2020,5914.107870552
New Hampshire,2020,860.870449352
New Jersey,2020,10611.078343589
New Mexico,2020,2958.249257496
New York,2020,29199.390448206
North Carolina,2020,11354.760975203
North Dakota,2020,924.33876743
Ohio,2020,16716.391880969
Oklahoma,2020,6145.688639476
Oregon,2020,6750.916856183
Pennsylvania,2020,14219.260128209
Rhode Island,2020,1406.00261527
South Carolina,2020,6368.188915796
South Dakota,2020,1062.204324799
Tennessee,2020,7440.85470931
Texas,2020,46714.375574783
Utah,2020,6485.764836925
Vermont,2020,324.852381135
Virginia,2020,16021.52572274
Washington,2020,8778.1762290664
West Virginia,2020,1812.928432343
Wisconsin,2020,5365.865204342
Wyoming,2020,1015.223517617
